ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
018.85,1,1,,,,,,,,,,,,,,,,,,,,,,,,
018.90,58,12,25,12,4,1,2,,1,,,,,,,,,,,1,,,,,,
018.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,
018.93,31,16,6,5,2,1,,1,,,,,,,,,,,,,,,,,,
018.94,15,7,6,,1,1,,,,,,,,,,,,,,,,,,,,
018.95,4,2,2,,,,,,,,,,,,,,,,,,,,,,,
018.96,7,4,2,,1,,,,,,,,,,,,,,,,,,,,,
020.2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
020.9,1,,,1,,,,,,,,,,,,,,,,,,,,,,
021.9,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
022.0,2,,,1,,,,,,1,,,,,,,,,,,,,,,,
022.3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
023.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
023.8,6,,,2,2,1,,1,,,,,,,,,,,,,,,,,,
023.9,26,6,5,4,2,3,2,2,1,,,,,1,,,,,,,,,,,,
024.,7,,1,1,1,2,,1,,1,,,,,,,,,,,,,,,,
025.,12,,1,2,2,4,,2,,,,,,1,,,,,,,,,,,,
026.1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
026.9,4,3,1,,,,,,,,,,,,,,,,,,,,,,,
027.0,92,54,9,14,4,4,3,2,1,,,,,,1,,,,,,,,,,,
027.1,5,,,,2,,1,,,1,,,,,,,,,,1,,,,,,
027.2,192,14,78,30,21,16,9,9,2,4,,2,1,4,,1,,,,,,,1,,,
027.8,3,1,,1,,1,,,,,,,,,,,,,,,,,,,,
027.9,4,1,,3,,,,,,,,,,,,,,,,,,,,,,
030.0,3,,1,,,,1,1,,,,,,,,,,,,,,,,,,
030.3,2,,1,,,,,,,1,,,,,,,,,,,,,,,,
030.8,1,,,1,,,,,,,,,,,,,,,,,,,,,,
030.9,12,1,6,1,1,1,,1,,,1,,,,,,,,,,,,,,,
031.0,682,102,77,108,95,76,67,43,20,19,20,16,3,9,7,6,3,1,4,3,,1,2,,,
031.1,16,2,2,1,2,1,1,1,3,,,1,1,1,,,,,,,,,,,,
031.2,737,82,145,182,120,86,30,25,22,16,8,6,3,5,2,1,1,,,1,2,,,,,
031.8,94,15,15,6,7,15,10,9,1,2,3,6,2,1,,,,,,1,1,,,,,
031.9,180,11,32,17,23,20,20,17,11,9,5,7,1,1,2,1,,1,,1,,1,,,,
032.3,1,,1,,,,,,,,,,,,,,,,,,,,,,,
032.81,6,,,2,1,1,,,1,,,,,1,,,,,,,,,,,,
032.83,3,1,,1,,1,,,,,,,,,,,,,,,,,,,,
032.84,4,,,3,,1,,,,,,,,,,,,,,,,,,,,
032.85,28,1,5,10,3,1,2,2,2,,,,,,,,,2,,,,,,,,
032.89,32,,11,9,4,4,3,,1,,,,,,,,,,,,,,,,,
032.9,80,3,19,28,14,4,5,2,3,,1,,1,,,,,,,,,,,,,
033.0,107,83,11,5,2,,3,1,2,,,,,,,,,,,,,,,,,
033.1,9,3,4,,1,1,,,,,,,,,,,,,,,,,,,,
033.8,10,2,2,2,1,,1,1,,,,,,,,,1,,,,,,,,,
033.9,300,180,73,17,14,7,4,3,1,,,,1,,,,,,,,,,,,,
034.0,1065,245,219,148,113,89,68,42,22,20,21,14,8,12,3,8,11,7,1,1,5,3,2,1,2,
034.1,53,22,14,7,5,1,1,1,,,2,,,,,,,,,,,,,,,
035.,242,70,26,19,15,12,9,11,18,9,11,5,6,6,6,3,2,1,1,3,2,1,3,,1,2
036.0,30,15,11,1,1,,2,,,,,,,,,,,,,,,,,,,
036.1,16,4,4,3,1,,2,1,,,,1,,,,,,,,,,,,,,
036.2,23,17,1,2,1,,,1,,,,,,,,,,1,,,,,,,,
036.40,1,,,,1,,,,,,,,,,,,,,,,,,,,,
036.42,1,,1,,,,,,,,,,,,,,,,,,,,,,,
036.81,2,,,1,,1,,,,,,,,,,,,,,,,,,,,
036.82,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
036.89,1,,,1,,,,,,,,,,,,,,,,,,,,,,
036.9,4,,1,1,,1,1,,,,,,,,,,,,,,,,,,,
037.,10,2,6,2,,,,,,,,,,,,,,,,,,,,,,
038.0,8074,5635,1111,642,252,122,67,40,32,24,22,20,20,13,14,13,8,4,5,7,6,6,4,3,3,1
038.10,898,547,180,70,34,24,11,7,4,3,1,4,3,,2,,2,1,1,,1,2,,1,,
038.11,5596,3499,1239,489,194,63,22,16,19,8,5,11,4,3,3,2,4,3,3,3,,2,1,,1,2
038.12,4931,3221,1018,370,137,67,33,9,13,11,10,6,8,4,2,1,6,3,2,2,2,1,2,2,,1
038.19,2019,1112,462,232,91,38,21,9,10,5,2,6,9,4,2,2,4,2,2,2,,1,1,,2,
038.2,1225,1066,60,47,15,10,5,3,2,1,1,4,,1,,2,2,1,1,,2,1,,,,1
038.3,1731,1300,166,109,42,24,17,11,13,2,8,4,5,3,6,5,2,3,2,2,,1,2,1,3,
